id_lead,fecha_contacto   ,canal_origen,estado_lead,tiempo_respuesta,num_interacciones,especialidad,precio,dias_consulta,precio_final
1,31.10.2025 12:01:26,WhatsApp,Cita agendada,63,10,Psicoeducacion,30,2,60
4,31.10.2025 12:01:21,WhatsApp,Cita agendada,57,4,Psicoeducacion,30,5,150
5,31.10.2025 11:45:31,WhatsApp,Cita agendada,35,12,Psicoeducacion,30,2,60
6,31.10.2025 10:21:13,WhatsApp,Cita agendada,6,15,Psicoeducacion,30,5,150
7,31.10.2025 10:05:18,Web,Informacion,35,13,Psicoeducacion,30,1,30
8,31.10.2025 08:58:02,WhatsApp,Cita agendada,45,19,Psicoeducacion,30,3,90
9,31.10.2025 08:12:32,WhatsApp,Cita agendada,20,14,Psicoeducacion,30,1,30
10,31.10.2025 03:17:18,WhatsApp,Cita agendada,83,12,Psicoeducacion,30,3,90
12,30.10.2025 20:02:18,Web,Informacion,94,19,Psicoeducacion,30,1,30
14,30.10.2025 19:57:56,WhatsApp,Cita agendada,40,18,Psicoterapia,40,1,40
15,30.10.2025 19:47:43,Web,Informacion,27,5,Psicoeducacion,30,5,150
17,30.10.2025 19:14:41,WhatsApp,Cita agendada,9,21,Psicologia clinica,35,3,105
18,30.10.2025 18:03:24,WhatsApp,Cita agendada,35,18,Psicoeducacion,30,1,30
21,30.10.2025 17:39:00,WhatsApp,Cita agendada,50,23,Psicologia clinica,35,3,105
22,30.10.2025 17:32:45,WhatsApp,Cita agendada,26,8,Psicoeducacion,30,5,150
23,30.10.2025 16:15:56,WhatsApp,Cita agendada,26,8,Psicoeducacion,30,1,30
24,30.10.2025 15:20:47,Facebook,Informacion,45,6,Psicoeducacion,30,2,60
25,30.10.2025 15:17:56,WhatsApp,Cita agendada,9,21,Psicoeducacion,30,5,150
27,30.10.2025 14:34:27,WhatsApp,Cita agendada,15,14,Psicoeducacion,30,4,120
30,30.10.2025 13:35:14,WhatsApp,Informacion,99,29,Psicologia clinica,35,3,105
31,30.10.2025 12:51:21,WhatsApp,Cita agendada,42,25,Psicoeducacion,30,3,90
32,30.10.2025 12:40:42,WhatsApp,Cita agendada,54,17,Psicoeducacion,30,2,60
33,30.10.2025 12:29:22,Web,Informacion,20,15,Neuropsicologia,60,1,60
34,30.10.2025 12:09:09,WhatsApp,Cita agendada,82,28,Psicoeducacion,30,2,60
35,30.10.2025 11:51:11,WhatsApp,Informacion,91,14,Psicoeducacion,30,2,60
36,30.10.2025 10:53:54,Facebook,Informacion,20,20,Psicoeducacion,30,5,150
37,30.10.2025 10:15:40,Web,Informacion,52,19,Psicoeducacion,30,2,60
38,30.10.2025 09:47:48,WhatsApp,Cita agendada,70,21,Psicoeducacion,30,2,60
40,30.10.2025 09:07:14,WhatsApp,Cita agendada,55,19,Psicoeducacion,30,4,120
41,30.10.2025 08:50:59,WhatsApp,Cita agendada,67,14,Neuropsicologia,60,4,240
42,30.10.2025 08:34:57,Web,Informacion,76,3,Psicoeducacion,30,3,90
43,30.10.2025 08:32:52,Web,Informacion,28,30,Psicologia clinica,35,5,175
44,30.10.2025 07:58:57,WhatsApp,Cita agendada,55,24,Psicoeducacion,30,1,30
45,30.10.2025 05:59:59,Facebook,Informacion,74,23,Psicologia clinica,35,1,35
46,30.10.2025 04:59:09,WhatsApp,Cita agendada,5,9,Psicologia clinica,35,5,175
47,30.10.2025 00:29:41,Instagram,Informacion,28,15,Neuropsicologia,60,2,120
48,29.10.2025 20:52:51,WhatsApp,Cita agendada,9,26,Psicologia clinica,35,3,105
49,29.10.2025 19:54:05,WhatsApp,Informacion,99,22,Neuropsicologia,60,5,300
50,29.10.2025 17:44:37,Facebook,Informacion,76,19,Neuropsicologia,60,3,180
51,29.10.2025 16:10:40,Web,Informacion,18,20,Neuropsicologia,60,1,60
52,29.10.2025 15:58:11,WhatsApp,Cita agendada,32,30,Psicoeducacion,30,3,90
53,29.10.2025 15:30:34,WhatsApp,Informacion,59,24,Psicopedagogia,80,5,400
54,29.10.2025 15:17:38,Instagram,Informacion,72,18,Psicoeducacion,30,2,60
55,29.10.2025 12:58:24,WhatsApp,Cita agendada,27,4,Psicoeducacion,30,2,60
56,29.10.2025 12:33:50,Facebook,Informacion,65,27,Psicoeducacion,30,1,30
57,29.10.2025 12:19:25,Web,Informacion,6,17,Psicoeducacion,30,3,90
58,29.10.2025 11:39:45,WhatsApp,Cita agendada,42,3,Neuropsicologia,60,2,120
59,28.10.2025 19:49:45,Web,Informacion,27,26,Psicoeducacion,30,4,120
60,28.10.2025 19:41:51,Web,Informacion,97,4,Psicologia clinica,35,3,105
61,28.10.2025 18:52:29,WhatsApp,Cita agendada,52,23,Psicoeducacion,30,4,120
62,28.10.2025 18:45:03,Instagram,Informacion,90,26,Psicoeducacion,30,2,60
63,28.10.2025 18:24:08,WhatsApp,Cita agendada,24,12,Psicologia clinica,35,2,70
64,28.10.2025 18:19:43,WhatsApp,Cita agendada,19,16,Neuropsicologia,60,5,300
65,28.10.2025 18:10:25,WhatsApp,Informacion,31,1,Neuropsicologia,60,5,300
66,28.10.2025 16:19:39,Web,Informacion,57,6,Psicoeducacion,30,1,30
67,28.10.2025 16:09:58,WhatsApp,Informacion,38,15,Psicopedagogia,80,5,400
68,28.10.2025 15:01:24,WhatsApp,Cita agendada,25,17,Psicoeducacion,30,5,150
69,28.10.2025 14:59:48,WhatsApp,Cita agendada,17,4,Psicoeducacion,30,3,90
70,28.10.2025 14:30:22,WhatsApp,Informacion,11,29,Psicopedagogia,80,2,160
71,28.10.2025 13:00:32,WhatsApp,Informacion,92,25,Psicoeducacion,30,3,90
72,28.10.2025 11:47:52,Web,Informacion,94,26,Neuropsicologia,60,2,120
73,28.10.2025 10:48:53,WhatsApp,Cita agendada,83,20,Psicologia clinica,35,2,70
74,28.10.2025 10:31:22,Web,Informacion,67,2,Psicoeducacion,30,2,60
75,28.10.2025 10:24:18,Web,Informacion,97,30,Psicoeducacion,30,5,150
76,28.10.2025 10:16:03,WhatsApp,Cita agendada,78,29,Neuropsicologia,60,3,180
77,28.10.2025 09:37:28,Web,Informacion,100,13,Psicoeducacion,30,3,90
78,28.10.2025 09:35:28,WhatsApp,Cita agendada,90,9,Psicoeducacion,30,3,90
79,28.10.2025 09:27:25,Facebook,Informacion,84,24,Psicoeducacion,30,3,90
80,28.10.2025 09:21:58,Facebook,Informacion,26,13,Psicologia clinica,35,2,70
81,28.10.2025 08:57:43,WhatsApp,Cita agendada,45,5,Neuropsicologia,60,2,120
82,28.10.2025 08:05:05,WhatsApp,Cita agendada,16,3,Psicoeducacion,30,3,90
83,28.10.2025 07:14:59,WhatsApp,Cita agendada,31,29,Psicoeducacion,30,1,30
84,28.10.2025 06:51:36,Web,Informacion,13,18,Psicoeducacion,30,1,30
